epoch,split,week,tow,time_gps_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,ref_sys_id,cb_m,cd_mps,inter_gnss_m,ibb_m,used_obs,rejected_obs,pdop,r_inflation,gt_lat_deg,gt_lon_deg,gt_h_m,pred_lat_deg,pred_lon_deg,pred_h_m,enu_e_m,enu_n_m,enu_u_m,enu_3d_m,init_ok
11,train,2206,379370.005058981,1334568170.00506,-2399702.933668498,5383205.059627569,2429709.399154827,0.0,0.0,0.0,0,-17698.430673959614,-574.3225522983253,2:4.910986;3:0.000000;6:0.000000,,8,0,3.120556356661582,1.0,22.5395169985781,114.026175702182,5.33558476428129,22.539582334893385,114.02615957958012,8.900563308037817,-1.658485181351306,7.235198580899535,3.5649742026267495,8.234543865157727,1
12,train,2206,379370.505059939,1334568170.50506,-2399702.8013185756,5383205.274602577,2429709.113993374,0.0,0.0,0.0,0,-17985.635143099866,-574.3353590433263,2:4.976836;3:0.000000;6:0.000000,,8,0,3.120864808003238,1.0,22.5395170459635,114.026175349768,5.35284360846055,22.539579463349252,114.02615755355859,8.92283549066633,-1.8306443654387397,6.91196284829735,3.5699878548809165,7.991952358025707,1
13,train,2206,379371.005060897,1334568171.00506,-2399702.6645231717,5383205.468949322,2429708.879709882,0.0,0.0,0.0,0,-18272.86181592367,-574.3512721567216,2:5.002348;3:0.000000;6:0.000000,,8,0,3.1211732428681858,1.0,22.5395170998897,114.026175002998,5.36590137744977,22.53957708763974,114.02615556971341,8.94553672336042,-1.9990455753411538,6.642910426365331,3.579631554799655,7.806292603606508,1
14,train,2206,379371.505061854,1334568171.50506,-2399702.5887007862,5383205.690636911,2429708.6662456854,0.0,0.0,0.0,0,-18560.016181474133,-574.3531479080026,2:5.015198;3:0.000000;6:0.000000,,8,0,3.12148165392659,1.0,22.539517152829,114.026174646515,5.37794338054505,22.539574713199855,114.02615401903282,9.02221209090203,-2.121889279439545,6.374107935804738,3.644265155199306,7.642796256141415,1
15,train,2206,379372.005062808,1334568172.00506,-2399702.5236349325,5383205.73273416,2429708.2163744685,0.0,0.0,0.0,0,-18846.696207091078,-574.2596097175101,2:5.002068;3:0.000000;6:0.000000,,8,0,3.121790039981782,1.0,22.5395171965228,114.026174297987,5.39229517315416,22.53957091962904,114.02615327468816,8.860811517573893,-2.162605793347502,5.949177616191387,3.4685131891551473,7.218044185910475,1
16,train,2206,379372.505063766,1334568172.50506,-2399702.456465783,5383205.885479882,2429708.0113791,0.0,0.0,0.0,0,-19133.66106917297,-574.2353100989616,2:4.966858;3:0.000000;6:0.000000,,8,0,3.1220984426876024,1.0,22.5395173536264,114.02617399377,5.37834105417203,22.539568821595996,114.02615207371562,8.885828418657184,-2.254852478447037,5.699448828347174,3.507484406651037,7.061906506702486,1
17,train,2206,379373.005064724,1334568173.00506,-2399702.4849174423,5383206.112658351,2429707.865749538,0.0,0.0,0.0,0,-19420.67083614322,-574.2247847183997,2:4.942988;3:0.000000;6:0.000000,,8,0,3.122406792039979,1.0,22.5395175046802,114.026173698292,5.36483092531158,22.539566848614058,114.02615142715396,9.032350946217775,-2.290967523187768,5.464237958265228,3.667517256512727,6.968293297764259,1
18,train,2206,379373.505065681,1334568173.50507,-2399702.4648281415,5383206.142921113,2429707.843234881,0.0,0.0,0.0,0,-19707.81381592669,-574.2290161281738,2:4.942872;3:0.000000;6:0.000000,,8,0,3.1227151084644,1.0,22.5395173961648,114.026173488868,5.36810652831908,22.539566593463295,114.02615112899889,9.041695399209857,-2.3000950391036037,5.447999892372233,3.673586118800767,6.961779584879326,1
19,train,2206,379374.005066638,1334568174.00507,-2399702.6213844907,5383206.260246466,2429707.8729668753,0.0,0.0,0.0,0,-19994.758228362687,-574.2103204298999,2:4.868298;3:0.000000;6:0.000000,,8,0,3.1230234069521923,1.0,22.5395172985878,114.026173297706,5.36495694400405,22.539566249861107,114.02615205468668,9.210940637625754,-2.185207996094127,5.420755737179013,3.8459810037027062,6.996520322931604,1
20,train,2206,379374.505067595,1334568174.50507,-2399702.6463563275,5383206.410737229,2429707.9209171594,0.0,0.0,0.0,0,-20281.82148069049,-574.2094032839655,2:4.797758;3:0.000000;6:0.000000,,8,0,3.1233316714178128,1.0,22.5395174944171,114.02617315157,5.37893337117852,22.539566138804815,114.0261516807617,9.365664662793279,-2.2086400460247355,5.386772040842464,3.9867286234209556,7.056161066026638,1
