epoch,split,week,tow,time_gps_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,ref_sys_id,cb_m,cd_mps,inter_gnss_m,ibb_m,used_obs,rejected_obs,pdop,r_inflation,gt_lat_deg,gt_lon_deg,gt_h_m,pred_lat_deg,pred_lon_deg,pred_h_m,enu_e_m,enu_n_m,enu_u_m,enu_3d_m,init_ok
11,train,2206,379370.005058981,1334568170.00506,-2399704.6756504797,5383203.400873625,2429710.960449317,0.0,0.0,0.0,0,-14943.267634365722,0.0,2:-1028.985911;3:0.000000;6:0.000000,,0,8,3.1205563185426914,1.0,22.5395169985781,114.026175702182,5.33558476428129,22.539598146203613,114.02618161212838,8.754807220771909,0.6079389171429784,8.98610769572551,3.4192160626277097,9.633834113637496,1
12,train,2206,379370.505059939,1334568170.50506,-2399704.6756504797,5383203.400873625,2429710.960449317,0.0,0.0,0.0,0,-14943.267634365722,0.0,2:-1028.985911;3:0.000000;6:0.000000,,0,8,3.1208647597900057,1.0,22.5395170459635,114.026175349768,5.35284360846055,22.539598146203613,114.02618161212838,8.754807220771909,0.6441907167352667,8.980860343436476,3.4019572231214807,9.625182966353744,1
13,train,2206,379371.005060897,1334568171.00506,-2399704.6756504797,5383203.400873625,2429710.960449317,0.0,0.0,0.0,0,-14943.267634365722,0.0,2:-1028.985911;3:0.000000;6:0.000000,,0,8,3.1211731808379892,1.0,22.5395170998897,114.026175002998,5.36590137744977,22.539598146203613,114.02618161212838,8.754807220771909,0.6798619331654756,8.974888676960292,3.3888994587110908,9.617456969139498,1
14,train,2206,379371.505061854,1334568171.50506,-2399704.6756504797,5383203.400873625,2429710.960449317,0.0,0.0,0.0,0,-14943.267634365722,0.0,2:-1028.985911;3:0.000000;6:0.000000,,0,8,3.121481581610049,1.0,22.539517152829,114.026174646515,5.37794338054505,22.539598146203613,114.02618161212838,8.754807220771909,0.7165322978108591,8.969026298659093,3.376857459987788,9.610411936276183,1
15,train,2206,379372.005062808,1334568172.00506,-2399704.6756504797,5383203.400873625,2429710.960449317,0.0,0.0,0.0,0,-14943.267634365722,0.0,2:-1028.985911;3:0.000000;6:0.000000,,0,8,3.121789962027688,1.0,22.5395171965228,114.026174297987,5.39229517315416,22.539598146203613,114.02618161212838,8.754807220771909,0.7523843556760159,8.964187745654966,3.362505670314385,9.603602893753628,1
16,train,2206,379372.505063766,1334568172.50506,-2399704.6756504797,5383203.400873625,2429710.960449317,0.0,0.0,0.0,0,-14943.267634365722,0.0,2:-1028.985911;3:0.000000;6:0.000000,,0,8,3.12209832201913,1.0,22.5395173536264,114.02617399377,5.37834105417203,22.539598146203613,114.02618161212838,8.754807220771909,0.7836782695094714,8.946790443810302,3.376459809817324,9.594774188216643,1
17,train,2206,379373.005064724,1334568173.00506,-2399704.6756504797,5383203.400873625,2429710.960449317,0.0,0.0,0.0,0,-14943.267634365722,0.0,2:-1028.985911;3:0.000000;6:0.000000,,0,8,3.1224066615058628,1.0,22.5395175046802,114.026173698292,5.36483092531158,22.539598146203613,114.02618161212838,8.754807220771909,0.8140732276312146,8.930063083295469,3.3899699588361383,9.586482056176497,1
18,train,2206,379373.505065681,1334568173.50507,-2399704.6756504797,5383203.400873625,2429710.960449317,0.0,0.0,0.0,0,-14943.267634365722,0.0,2:-1028.985911;3:0.000000;6:0.000000,,0,8,3.1227149804107612,1.0,22.5395173961648,114.026173488868,5.36810652831908,22.539598146203613,114.02618161212838,8.754807220771909,0.83561606333868,8.942079838486814,3.3866943364626727,9.59837197507006,1
19,train,2206,379374.005066638,1334568174.00507,-2399704.6756504797,5383203.400873625,2429710.960449317,0.0,0.0,0.0,0,-14943.267634365722,0.0,2:-1028.985911;3:0.000000;6:0.000000,,0,8,3.123023278657506,1.0,22.5395172985878,114.026173297706,5.36495694400405,22.539598146203613,114.02618161212838,8.754807220771909,0.8552803394916889,8.952885300428374,3.3898439017623176,9.6112799012443,1
20,train,2206,379374.505067595,1334568174.50507,-2399704.6756504797,5383203.400873625,2429710.960449317,0.0,0.0,0.0,0,-14943.267634365722,0.0,2:-1028.985911;3:0.000000;6:0.000000,,0,8,3.123331556170099,1.0,22.5395174944171,114.02617315157,5.37893337117852,22.539598146203613,114.02618161212838,8.754807220771909,0.8703129224138564,8.931199599453302,3.3758675039711776,9.587505007694336,1
