time,E,N,U
1733987115.000000,-0.401936,0.279783,0.929976
1733987116.000000,-0.556956,0.267236,0.805738
1733987117.000000,-0.512497,0.153209,0.974076
1733987118.000000,-0.520192,0.298614,0.915354
1733987119.000000,-0.675758,0.351080,0.617861
1733987120.000000,-0.635743,0.157422,0.951880
1733987121.000000,-0.783622,0.204808,1.157410
1733987122.000000,-0.907312,0.041774,1.291002
1733987123.000000,-0.757211,-0.035064,1.070212
1733987124.000000,-0.818813,-0.060389,1.017419
1733987125.000000,-0.761852,0.152504,0.703834
1733987126.000000,-0.708418,0.179772,0.511340
1733987127.000000,-0.703386,0.291953,0.500385
1733987128.000000,-0.726369,0.497689,0.731479
1733987129.000000,-0.718577,0.483184,0.635166
1733987130.000000,-0.719176,0.574687,0.324021
1733987131.000000,-0.794204,0.464763,0.400843
1733987132.000000,-0.904373,0.641437,0.497085
1733987133.000000,-0.807466,0.344070,0.288679
1733987134.000000,-0.770373,0.244950,0.252415
1733987135.000000,-0.712087,0.424085,0.270545
1733987136.000000,-0.742437,0.431127,0.360214
1733987137.000000,-0.765973,0.310656,0.354451
1733987138.000000,-0.574558,0.499891,0.163666
1733987139.000000,-0.889689,0.680944,-0.066059
1733987140.000000,-1.184755,0.884498,0.561304
1733987141.000000,-1.100794,0.947621,-0.051689
1733987142.000000,-1.311311,0.843130,-0.746658
1733987143.000000,-2.170621,1.432754,-4.115758
1733987144.000000,-4.534632,-0.204530,-3.579348
1733987168.000000,10.684682,10.002107,-9.733372
1733987169.000000,-1.999252,-0.015877,2.142634
1733987170.000000,-1.427732,-1.189732,1.389872
1733987171.000000,-1.441987,-0.616197,3.095245
1733987172.000000,-1.296479,-0.623110,2.598032
1733987173.000000,-1.451699,0.443141,1.207619
1733987174.000000,-0.989479,0.607593,0.126431
1733987175.000000,-0.880372,0.532369,-0.305956
1733987176.000000,-0.880157,0.260829,0.473689
1733987177.000000,-0.791288,0.150732,0.999355
1733987178.000000,-0.888028,0.302193,0.997367
1733987179.000000,-0.624803,0.427763,0.903392
1733987180.000000,-0.548338,0.564023,1.061392
1733987181.000000,-0.508127,0.432055,0.996903
1733987182.000000,-0.614481,0.476066,0.760989
1733987183.000000,-0.560932,0.425586,0.483050
1733987184.000000,-0.662569,0.389512,-0.002819
1733987185.000000,-0.760004,0.324520,-0.562050
1733987186.000000,-0.728503,0.468631,-0.691515
1733987187.000000,-0.671053,0.404191,-0.635553
1733987188.000000,-0.859102,0.197982,-0.601935
1733987189.000000,-0.932469,0.010114,-0.770286
1733987190.000000,-0.809206,0.110424,-0.543612
1733987191.000000,-0.765164,0.227522,-0.521434
1733987192.000000,-0.732910,0.233672,-0.227751
1733987193.000000,-0.687645,0.275939,0.011129
1733987194.000000,-0.659488,0.504593,0.619163
1733987195.000000,-0.667305,0.382168,0.818592
1733987196.000000,-0.540257,0.358244,1.061282
1733987197.000000,-0.363424,0.408616,0.671630
1733987198.000000,-0.370139,0.490033,0.519539
1733987199.000000,-0.459700,0.294256,0.628210
1733987200.000000,-0.548696,0.306940,0.440333
1733987201.000000,-0.545070,0.185409,0.445373
1733987202.000000,-0.449498,0.183148,0.496551
1733987203.000000,-0.705149,0.182211,0.351939
1733987204.000000,-0.706850,0.273765,-0.013208
1733987205.000000,-0.869003,0.246421,0.003976
1733987206.000000,-0.731156,0.169400,-0.140862
1733987207.000000,-0.894884,0.300229,-0.277664
1733987208.000000,-0.702854,0.441393,-0.114487
1733987209.000000,-0.635764,0.444830,0.196039
1733987210.000000,-0.768955,0.382557,0.192938
1733987211.000000,-0.995950,0.414322,0.075356
1733987212.000000,-1.205233,0.420643,0.178094
1733987213.000000,-0.945820,0.374133,0.316589
1733987214.000000,-0.774814,-0.201484,-0.055781
1733987215.000000,-0.880202,-0.324257,-0.666894
1733987216.000000,-0.968533,-0.175699,-0.943223
1733987217.000000,-0.993462,-0.292673,-0.985030
1733987218.000000,-0.826067,-0.194653,-1.139967
1733987219.000000,-0.861552,-0.163866,-1.077271
1733987220.000000,-0.834347,-0.135190,-0.803864
1733987221.000000,-0.766101,-0.079912,-0.562414
1733987222.000000,-0.712099,-0.056203,-0.304737
1733987223.000000,-0.746330,-0.137157,-0.148015
1733987224.000000,-0.573050,-0.150540,-0.183055
1733987225.000000,-0.695479,-0.098394,-0.295942
1733987226.000000,-0.803236,0.108981,-0.359981
1733987227.000000,-0.877557,0.090250,-0.261487
1733987228.000000,-0.952266,0.308523,-0.158479
1733987229.000000,-0.837422,0.209511,0.014319
1733987230.000000,-0.643496,0.212283,-0.015465
1733987231.000000,-0.829742,0.443475,-0.198712
1733987232.000000,-1.109087,0.233465,-0.690941
1733987233.000000,-1.375502,0.162349,-0.998349
1733987234.000000,-1.347760,0.206317,-1.258809
1733987235.000000,-1.408509,0.339538,-1.237713
1733987236.000000,-1.408204,0.356694,-0.944863
1733987237.000000,-1.406613,0.310600,-0.733238
1733987238.000000,-1.378117,0.109249,-0.490525
1733987239.000000,-1.341478,0.118323,-0.525125
1733987240.000000,-1.258977,-0.008202,-0.503199
1733987241.000000,-1.045407,-0.064600,-0.413339
