epoch,week,tow,time_gps_s,gt_ecef_x_m,gt_ecef_y_m,gt_ecef_z_m,gt_lat_deg,gt_lon_deg,gt_h_m,gt_vel_x_mps,gt_vel_y_mps,gt_vel_z_mps,speed_mps,is_static
11,2206,379370.005058981,1334568170.00506,-2399704.2370411,5383203.91009335,2429701.35008633,22.5395169985781,114.026175702182,5.33558476428129,-0.0071845787155633,0.0190198744820551,0.0171575470085266,0.0266036692202985,1
12,2206,379370.505059939,1334568170.50506,-2399704.20960143,5383203.93757572,2429701.36154853,22.5395170459635,114.026175349768,5.35284360846055,0.086487821765118,0.0709168475999707,0.0253365584513121,0.114679046827871,1
13,2206,379371.005060897,1334568171.00506,-2399704.18099923,5383203.96102409,2429701.37206936,22.5395170998897,114.026175002998,5.36590137744977,0.00105559164212401,0.00537022531496736,0.013801323588414,0.0148468894533687,1
14,2206,379371.505061854,1334568171.50506,-2399704.15111944,5383203.98406067,2429701.38209989,22.539517152829,114.026174646515,5.37794338054505,0.0882181666993384,0.0674108736121204,0.023160217313964,0.113415459629504,1
15,2206,379372.005062808,1334568172.00506,-2399704.12301556,5383204.00907101,2429701.39207019,22.5395171965228,114.026174297987,5.39229517315416,-0.00192424024232518,0.0136595709686608,0.0139806966057375,0.0196404291485636,1
16,2206,379372.505063766,1334568172.50506,-2399704.08647021,5383204.00394992,2429701.4027897,22.5395173536264,114.02617399377,5.37834105417203,0.110047311216352,-0.0220713167986381,0.0249447006792548,0.114977353522997,1
17,2206,379373.005064724,1334568173.00506,-2399704.05101752,5383203.99907188,2429701.41306063,22.5395175046802,114.026173698292,5.36483092531158,-0.00291382491619299,0.0144854850270264,0.0115027110576728,0.0187251705943294,1
18,2206,379373.505065681,1334568173.50507,-2399704.03444848,5383204.01481356,2429701.40321738,22.5395173961648,114.026173488868,5.36810652831908,0.0516065621942661,0.036675340825285,-0.0359537141014519,0.0728078803691635,1
19,2206,379374.005066638,1334568174.00507,-2399704.0169899,5383204.02394609,2429701.39203,22.5395172985878,114.026173297706,5.36495694400405,0.00231346338101854,-0.0101629871079473,0.00659338631719525,0.0123333354328581,1
20,2206,379374.505067595,1334568174.50507,-2399704.00513109,5383204.03426473,2429701.41741668,22.5395174944171,114.02617315157,5.37893337117852,0.0350756673246353,0.035204326765635,0.0729823401281822,0.0882953511339967,1
