epoch,split,week,tow,time_gps_s,obs_count,obs_count_ls_gate,coarse_ok,coarse_iter,coarse_rx_x_m,coarse_rx_y_m,coarse_rx_z_m,coarse_cb_m,gt_lat_deg,gt_lon_deg,gt_h_m,speed_mps,is_static
53,train,2206,379391.005099188,1334568191.0051,15,15,1,2,-2399693.8360817228,5383199.84472688,2429697.742668202,-29758.891134422993,22.5395181031133,114.026168997866,5.47873300410311,0.0431240238470868,1
54,train,2206,379391.505100122,1334568191.5051,15,15,1,2,-2399693.9515187955,5383199.481088521,2429698.628558426,-30045.546843879667,22.5395180584987,114.026168899571,5.48329369559912,0.0466500208206807,1
55,train,2206,379392.005101142,1334568192.0051,15,15,1,2,-2399693.9576585004,5383198.86306263,2429698.7402075306,-30332.75599867463,22.539518004155,114.026168798273,5.48680692877157,0.0448007393954302,1
56,train,2206,379393.000103014,1334568193.0001,16,16,1,2,-2399694.1728238394,5383198.937000558,2429699.845432375,-30903.755531730196,22.5395178040812,114.026168798709,5.47782872344971,0.0505772985691846,1
57,train,2206,379394.000104928,1334568194.0001,16,16,1,2,-2399694.215222556,5383197.9832347,2429700.1358784013,-31478.184528542104,22.5395176006535,114.026168699865,5.48254038291526,0.038264356459194,1
58,train,2206,379395.000106856,1334568195.00011,16,16,1,2,-2399692.3468129258,5383197.604012239,2429695.7790742544,-32063.08643686247,22.5395174998415,114.026168699758,5.48857051228409,0.0347494137409681,1
59,train,2206,379396.000108788,1334568196.00011,16,16,1,2,-2399691.275896991,5383191.7052672105,2429695.9343550885,-32643.626198779024,22.5395173020785,114.026168898945,5.40046616593472,0.0238813526546634,1
60,train,2206,379397.000110714,1334568197.00011,17,17,1,2,-2399692.0852408465,5383193.054658243,2429697.3150941706,-33218.344417077846,22.539517405182,114.026169099094,5.32860729253647,0.0194874950433925,1
61,train,2206,379398.000112638,1334568198.00011,17,17,1,2,-2399691.684421744,5383193.493676565,2429697.5542742424,-33793.548163644955,22.5395173967138,114.02616940012,5.23173276864789,0.0381768886162378,1
62,train,2206,379399.000114559,1334568199.00011,17,17,1,2,-2399691.6847345307,5383195.477815123,2429697.973943387,-34367.329117043606,22.5395169981346,114.026169798921,5.11112043226544,0.0141402264529011,1
63,train,2206,379400.000116477,1334568200.00012,18,18,1,2,-2399696.3820680343,5383198.908352743,2429701.56383555,-34937.20520030465,22.5395170026307,114.026169803947,5.10209447085057,0.00807518070752157,1
64,train,2206,379401.000118394,1334568201.00012,18,18,1,2,-2399696.684024154,5383200.188536606,2429701.932742547,-35510.976432968906,22.5395168951685,114.026169697506,5.08120217422242,0.00620046036246122,1
65,train,2206,379402.00012031,1334568202.00012,18,18,1,2,-2399696.639159062,5383200.043413295,2429701.2945326837,-36085.73454982289,22.5395165031503,114.026170002922,5.02144787959368,0.0170762809638687,1
66,train,2206,379403.000122225,1334568203.00012,18,18,1,2,-2399696.3766051237,5383200.225356034,2429701.2258840105,-36660.20308642306,22.5395162016883,114.026170105833,4.98188290679292,0.00790858086905144,1
67,train,2206,379404.000124141,1334568204.00012,18,18,1,2,-2399696.6325290687,5383200.769464043,2429701.134574137,-37234.366909959266,22.5395159967815,114.026170202106,4.9191628119695,0.00894309918438998,1
68,train,2206,379405.000126055,1334568205.00013,18,18,1,2,-2399696.8868137295,5383200.949396613,2429701.0044931555,-37808.69021877904,22.5395160978995,114.026170495965,4.85305088499422,0.0129439832957177,1
69,train,2206,379406.00012797,1334568206.00013,18,18,1,2,-2399697.1785863065,5383200.997958548,2429701.3449789113,-38382.756918426516,22.5395162013468,114.026170899372,4.788926443184,0.00780686782758451,1
70,train,2206,379407.000129885,1334568207.00013,18,18,1,2,-2399697.127810634,5383200.356355179,2429700.9761732514,-38957.46728925414,22.5395164005223,114.026171096314,4.74621632684408,0.0078213523777238,1
71,train,2206,379408.0001318,1334568208.00013,18,18,1,2,-2399697.5914678243,5383200.780875667,2429701.3395437063,-39531.29191296114,22.5395165007076,114.026171296032,4.71687560017495,0.0100455156007499,1
72,train,2206,379409.000133716,1334568209.00013,18,18,1,2,-2399698.5361628667,5383201.866471831,2429702.6344439327,-40104.18085727106,22.5395164986513,114.026171399693,4.71481666358351,0.00883309580500853,1
73,train,2206,379410.000135631,1334568210.00014,18,18,1,2,-2399699.4145906265,5383202.922036666,2429702.775042978,-40677.732908101345,22.539516603308,114.026171394772,4.71819741544187,0.011016071012845,1
74,train,2206,379411.000137546,1334568211.00014,18,18,1,2,-2399699.209712688,5383203.215575505,2429702.6954764673,-41251.995145230256,22.5395168002412,114.026171295925,4.74130576189896,0.0100510234208104,1
75,train,2206,379412.000139463,1334568212.00014,18,18,1,2,-2399699.080127699,5383203.363453484,2429702.4154480505,-41826.35215648544,22.5395168977004,114.02617130288,4.74138993594005,0.0129463212783565,1
76,train,2206,379413.000141378,1334568213.00014,18,18,1,2,-2399699.7895333804,5383204.310991133,2429703.7430881183,-42399.207960405445,22.539516995481,114.026171298169,4.72312561137672,0.0110315669800161,1
77,train,2206,379414.000143291,1334568214.00014,18,18,1,2,-2399699.4012579974,5383203.975337375,2429701.8485901933,-42974.69690273138,22.539516900702,114.026171398195,4.68580493205709,0.0161127378444757,1
78,train,2206,379415.000145205,1334568215.00015,18,18,1,2,-2399699.87826376,5383204.643004955,2429703.6240607863,-43547.382089815546,22.5395167000801,114.026171300628,4.66107234691826,0.016541153451447,1
79,train,2206,379416.00014712,1334568216.00015,19,19,1,2,-2399700.042788823,5383204.331304929,2429703.5291565685,-44121.65201061002,22.5395164963006,114.026171199109,4.63718291892672,0.0164864280772167,1
80,train,2206,379417.000149047,1334568217.00015,19,19,1,2,-2399704.954654349,5383213.020856481,2429706.236685694,-44700.350393887195,22.5395161999114,114.026171098335,4.63278422757071,0.0184131843683912,1
81,train,2206,379418.000150984,1334568218.00015,19,19,1,2,-2399704.1554572303,5383209.215410502,2429707.2590426286,-45279.55657757453,22.5395153027915,114.0261707987,4.64780371045439,0.0302526222888054,1
82,train,2206,379419.000152912,1334568219.00015,19,19,1,2,-2399702.392299311,5383206.29777083,2429704.9973214157,-45857.78441478101,22.5395144044613,114.026170497137,4.65792737003195,0.0252914615405278,1
83,train,2206,379420.000154838,1334568220.00015,19,19,1,2,-2399702.0584239503,5383206.937143019,2429704.2925767954,-46433.01543894221,22.5395135997,114.026170198464,4.6796055117249,0.0130470218742182,1
84,train,2206,379421.000156752,1334568221.00016,19,19,1,2,-2399700.4187106714,5383204.613000134,2429703.8490029033,-47008.58193022936,22.5395132967887,114.026169995745,4.70303764878945,0.0205479920723537,1
85,train,2206,379422.00015867,1334568222.00016,19,19,1,2,-2399700.7408158276,5383206.82152359,2429703.658512365,-47582.58653456202,22.5395126993279,114.026169799979,4.70853416583059,0.0152269918323693,1
86,train,2206,379423.00016059,1334568223.00016,19,19,1,2,-2399698.87338444,5383205.695588832,2429702.199643785,-48158.60267177217,22.5395119998052,114.026169697932,4.71517845400394,0.0172717940871318,1
87,train,2206,379424.000162508,1334568224.00016,19,19,1,2,-2399698.7421227694,5383206.272559526,2429702.3079373282,-48732.66556511435,22.5395114981819,114.026169500667,4.77597642639715,0.0102837168791545,1
88,train,2206,379425.00016442,1334568225.00016,19,19,1,2,-2399698.6087721125,5383206.521435916,2429702.4101413703,-49306.68279448207,22.5395107946844,114.026169299668,4.8071608978485,0.0145064822347284,1
89,train,2206,379426.00016633,1334568226.00017,19,19,1,2,-2399698.5032190247,5383206.744457994,2429702.4645702136,-49880.689445066215,22.5395107028515,114.02616920478,4.81601183888609,0.0184691734410025,1
90,train,2206,379427.000168245,1334568227.00017,19,19,1,2,-2399698.320918145,5383206.5467374325,2429702.1617640886,-50455.04780528966,22.5395107028047,114.026169195686,4.83689329315349,0.011432551547111,1
